# Goxel 0.7.2
# One line per voxel
# X Y Z RRGGBB
3 -2 1 dc0ad5
4 -2 1 dc0ad5
0 -1 1 dc0a0a
1 -1 1 dc0a0a
3 -1 1 dc0ad5
4 -1 1 dc0ad5
2 -15 2 ffffff
0 -13 2 ffffff
0 -12 2 ffffff
1 -12 2 ffffff
2 -12 2 ffffff
0 -11 2 ffffff
1 -11 2 ffffff
6 -7 2 000000
5 -6 2 000000
5 -5 2 000000
0 -1 2 dc0a0a
1 -1 2 62e151
2 -15 3 ffffff
0 -13 3 ffffff
1 -13 3 ffffff
2 -13 3 ffffff
3 -13 3 ffffff
0 -12 3 ffffff
1 -12 3 ffffff
2 -12 3 ffffff
3 -5 3 000000
4 -5 3 000000
2 -4 3 000000
1 -2 3 62e151
0 -1 3 0f0adc
2 -15 4 ffffff
0 -14 4 ffffff
1 -14 4 ffffff
2 -14 4 ffffff
3 -14 4 ffffff
1 -13 4 ffffff
2 -13 4 ffffff
1 -4 4 000000
0 -3 4 000000
1 -3 4 62e151
0 -1 4 0f0adc
2 -16 5 ffffff
1 -15 5 ffffff
2 -15 5 ffffff
3 -15 5 ffffff
2 -14 5 ffffff
3 -14 5 ffffff
0 -3 5 62e151
1 -3 5 62e151
0 -2 5 62e151
0 -1 5 000000
2 -16 6 ffffff
2 -15 6 ffffff
3 -15 6 ffffff
2 -15 7 ffffff
0 0 0 dc0a0a
1 0 0 dc0a0a
3 0 0 dc0ad5
4 0 0 dc0ad5
5 0 0 ffffff
6 0 0 ffffff
0 1 0 dc0a0a
1 1 0 dc0a0a
5 1 0 ffffff
0 2 0 dc0a0a
1 2 0 dc0a0a
4 2 0 ffffff
5 2 0 ffffff
0 3 0 000000
3 3 0 ffffff
4 3 0 ffffff
0 4 0 000000
1 4 0 000000
2 4 0 ffffff
3 4 0 ffffff
1 5 0 ffffff
2 5 0 ffffff
0 6 0 ffffff
1 6 0 ffffff
0 9 0 c6cf67
2 10 0 c6cf67
0 0 1 dc0a0a
1 0 1 dc0a0a
0 1 1 dc0a0a
1 1 1 dc0a0a
0 2 1 dc0a0a
1 2 1 dc0a0a
0 3 1 000000
0 0 2 dc0a0a
1 0 2 dc0a0a
0 1 2 dc0a0a
1 1 2 dc0a0a
0 2 2 dc0a0a
1 2 2 dc0a0a
0 0 3 0f0adc
0 1 3 0f0adc
1 1 3 0f0adc
0 2 3 000000
0 0 4 0f0adc
0 0 5 000000
-17 11 0 c6cf67
-19 12 0 c6cf67
-18 12 0 c6cf67
-17 12 0 c6cf67
-20 13 0 c6cf67
-19 13 0 c6cf67
-17 13 0 c6cf67
-21 14 0 c6cf67
-20 14 0 c6cf67
-17 10 1 c6cf67
-18 11 1 c6cf67
-17 11 1 c6cf67
-19 12 1 c6cf67
-18 12 1 c6cf67
-17 12 1 c6cf67
-21 13 1 c6cf67
-20 13 1 c6cf67
-19 13 1 c6cf67
-21 14 1 c6cf67
-17 11 2 c6cf67
